Symbol,Name,Sector
CME,CME Group,Financials
CMS,CMS Energy,Utilities
KO,Coca-Cola Company,Consumer Staples
CTSH,Cognizant Technology Solutions,Information Technology
CL,Colgate-Palmolive,Consumer Staples
CMCSA,Comcast,Communication Services
CMA,Comerica,Financials
CAG,Conagra Brands,Consumer Staples
COP,ConocoPhillips,Energy
ED,Consolidated Edison,Utilities
STZ,Constellation Brands,Consumer Staples
CPRT,Copart,Industrials
GLW,Corning,Information Technology
CTVA,Corteva,Materials
COST,Costco,Consumer Staples
CCI,Crown Castle,Real Estate
CSX,CSX,Industrials
CMI,Cummins,Industrials
CVS,CVS Health,Health Care
DHI,D. R. Horton,Consumer Discretionary
DHR,Danaher Corporation,Health Care
DRI,Darden Restaurants,Consumer Discretionary
DVA,DaVita,Health Care
DE,Deere & Co.,Industrials
DAL,Delta Air Lines,Industrials
XRAY,Dentsply Sirona,Health Care
DVN,Devon Energy,Energy
DXCM,DexCom,Health Care
FANG,Diamondback Energy,Energy
DLR,Digital Realty Trust,Real Estate
DFS,Discover Financial Services,Financials
DISCA,Discovery (Series A),Communication Services
DISCK,Discovery (Series C),Communication Services
DISH,Dish Network,Communication Services
DG,Dollar General,Consumer Discretionary
DLTR,Dollar Tree,Consumer Discretionary
D,Dominion Energy,Utilities
DPZ,Domino's Pizza,Consumer Discretionary
DOV,Dover Corporation,Industrials
DOW,Dow,Materials
DTE,DTE Energy,Utilities
DUK,Duke Energy,Utilities
DRE,Duke Realty Corp,Real Estate
DD,DuPont,Materials
DXC,DXC Technology,Information Technology
EMN,Eastman Chemical,Materials
ETN,Eaton Corporation,Industrials
EBAY,eBay,Consumer Discretionary
ECL,Ecolab,Materials
EIX,Edison International,Utilities
EW,Edwards Lifesciences,Health Care
EA,Electronic Arts,Communication Services
LLY,Eli Lilly & Co,Health Care
EMR,Emerson Electric Company,Industrials
ENPH,Enphase Energy,Information Technology
ETR,Entergy,Utilities
EOG,EOG Resources,Energy
EFX,Equifax,Industrials
EQIX,Equinix,Real Estate
EQR,Equity Residential,Real Estate
ESS,Essex Property Trust,Real Estate
EL,Estée Lauder Companies,Consumer Staples
ETSY,Etsy,Consumer Discretionary
RE,Everest Re,Financials
EVRG,Evergy,Utilities
ES,Eversource Energy,Utilities
EXC,Exelon,Utilities
EXPE,Expedia Group,Consumer Discretionary
EXPD,Expeditors,Industrials
EXR,Extra Space Storage,Real Estate
XOM,ExxonMobil,Energy
FFIV,F5 Networks,Information Technology
FB,Facebook,Communication Services
FAST,Fastenal,Industrials
FRT,Federal Realty Investment Trust,Real Estate
FDX,FedEx,Industrials
FIS,Fidelity National Information Services,Information Technology
FITB,Fifth Third Bancorp,Financials
FRC,First Republic Bank,Financials
FE,FirstEnergy,Utilities
FISV,Fiserv,Information Technology
FLT,Fleetcor,Information Technology
FMC,FMC Corporation,Materials
F,Ford,Consumer Discretionary
FTNT,Fortinet,Information Technology
FTV,Fortive,Industrials
FBHS,Fortune Brands Home & Security,Industrials
FOXA,Fox Corporation (Class A),Communication Services
FOX,Fox Corporation (Class B),Communication Services
BEN,Franklin Resources,Financials
FCX,Freeport-McMoRan,Materials
GPS,Gap,Consumer Discretionary
GRMN,Garmin,Consumer Discretionary
IT,Gartner,Information Technology
GNRC,Generac Holdings,Industrials
GD,General Dynamics,Industrials
GE,General Electric,Industrials
GIS,General Mills,Consumer Staples
GM,General Motors,Consumer Discretionary
GPC,Genuine Parts,Consumer Discretionary
GILD,Gilead Sciences,Health Care
GPN,Global Payments,Information Technology
GL,Globe Life,Financials
GS,Goldman Sachs,Financials
HAL,Halliburton,Energy
HBI,Hanesbrands,Consumer Discretionary
HAS,Hasbro,Consumer Discretionary
HCA,HCA Healthcare,Health Care
PEAK,Healthpeak Properties,Real Estate
HSIC,Henry Schein,Health Care
HES,Hess Corporation,Energy
HPE,Hewlett Packard Enterprise,Information Technology
HLT,Hilton Worldwide,Consumer Discretionary
HOLX,Hologic,Health Care
HD,Home Depot,Consumer Discretionary
HON,Honeywell,Industrials
HRL,Hormel,Consumer Staples
HST,Host Hotels & Resorts,Real Estate
HWM,Howmet Aerospace,Industrials
HPQ,HP,Information Technology
HUM,Humana,Health Care
HBAN,Huntington Bancshares,Financials
HII,Huntington Ingalls Industries,Industrials
IBM,IBM,Information Technology
IEX,IDEX Corporation,Industrials
IDXX,Idexx Laboratories,Health Care
INFO,IHS Markit,Industrials
ITW,Illinois Tool Works,Industrials
ILMN,Illumina,Health Care
INCY,Incyte,Health Care
IR,Ingersoll Rand,Industrials
INTC,Intel,Information Technology
ICE,Intercontinental Exchange,Financials
